,merk,price_total,price_cash,price_month,keterangan
567,2020        Honda               HR-V        SE        1.5,Rp        288.000.000,Rp 296.000.000 (Cash),"Rp 5,87 jt/bln",38.842 km Automatic Jakarta Timur
568,2014        Honda               JAZZ        E        1.5,Rp        163.000.000,Rp 168.000.000 (Cash),"Rp 3,32 jt/bln",116.751 km Automatic Tangerang Selatan
569,2018        Mitsubishi               XPANDER        SPORT        1.5,Rp        206.000.000,Rp 212.000.000 (Cash),"Rp 4,20 jt/bln",30.130 km Automatic Bogor
570,2018        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        223.000.000,Rp 229.000.000 (Cash),"Rp 4,54 jt/bln",36.246 km Automatic Bogor
571,2020        Toyota               AGYA        G        1.2,Rp        135.000.000,Rp 139.000.000 (Cash),"Rp 2,75 jt/bln",10.752 km Automatic Tangerang Selatan
572,2018        Suzuki               BALENO        HATCHBACK        1.4,Rp        167.000.000,Rp 172.000.000 (Cash),"Rp 3,40 jt/bln",100.941 km Automatic Tangerang Selatan
573,,,,,
574,2018        Wuling               CONFERO        S L        1.5,Rp        117.000.000,Rp 120.000.000 (Cash),"Rp 2,38 jt/bln",34.332 km Manual Tangerang Selatan
575,2019        Toyota               AVANZA        E        1.3,Rp        159.000.000,Rp 164.000.000 (Cash),"Rp 3,24 jt/bln",10.464 km Manual Jakarta Selatan
576,2016        Toyota               SIENTA        V        1.5,Rp        171.000.000,Rp 176.000.000 (Cash),"Rp 3,48 jt/bln",74.958 km Automatic Tangerang Selatan
577,2017        Toyota               CALYA        G        1.2,Rp        122.000.000,Rp 126.000.000 (Cash),"Rp 2,49 jt/bln",106.285 km Automatic Jakarta Selatan
578,2019        Mitsubishi               XPANDER        SPORT        1.5,Rp        212.000.000,Rp 218.000.000 (Cash),"Rp 4,32 jt/bln",50.953 km Automatic Jakarta Utara
579,2014        Daihatsu               XENIA        X STD        1.3,Rp        119.000.000,Rp 123.000.000 (Cash),"Rp 2,42 jt/bln",99.141 km Manual Jakarta Utara
580,2014        Mazda               BIANTE        SKYACTIV        2.0,Rp        177.000.000,Rp 182.000.000 (Cash),"Rp 3,61 jt/bln",90.581 km Automatic Tangerang Selatan
581,2014        Suzuki               ERTIGA        GX ELEGANT        1.4,Rp        136.000.000,Rp 140.000.000 (Cash),"Rp 2,77 jt/bln",126.831 km Manual Tangerang Selatan
582,2017        Honda               BRIO        SATYA E        1.2,Rp        135.000.000,Rp 139.000.000 (Cash),"Rp 2,75 jt/bln",71.790 km Automatic Tangerang Selatan
583,2015        Toyota               AGYA        G        1.0,Rp        94.000.000,Rp 97.000.000 (Cash),"Rp 1,92 jt/bln",105.684 km Manual Jakarta Barat
584,2016        Toyota               AGYA        G        1.0,Rp        101.000.000,Rp 104.000.000 (Cash),"Rp 2,06 jt/bln",14.028 km Manual Jakarta Timur
585,2018        Daihatsu               AYLA        X        1.0,Rp        113.000.000,Rp 116.000.000 (Cash),"Rp 2,30 jt/bln",82.241 km Automatic Bekasi
586,,,,,
587,2016        Daihatsu               AYLA        X        1.0,Rp        101.000.000,Rp 104.000.000 (Cash),"Rp 2,06 jt/bln",84.617 km Automatic Tangerang Selatan
588,2020        Daihatsu               SIGRA        R STD        1.2,Rp        135.000.000,Rp 139.000.000 (Cash),"Rp 2,75 jt/bln",34.389 km Automatic Jakarta Selatan
589,2017        Toyota               CALYA        G        1.2,Rp        122.000.000,Rp 126.000.000 (Cash),"Rp 2,49 jt/bln",66.374 km Automatic Tangerang Selatan
590,2019        Daihatsu               TERIOS        X DLX        1.5,Rp        201.000.000,Rp 207.000.000 (Cash),"Rp 4,10 jt/bln",36.722 km Automatic Jakarta Timur
591,2021        Daihatsu               AYLA        D+        1.0,Rp        105.000.000,Rp 108.000.000 (Cash),"Rp 2,14 jt/bln",9.664 km Manual Jakarta Timur
592,2017        Daihatsu               SIGRA        X        1.2,Rp        116.000.000,Rp 119.000.000 (Cash),"Rp 2,36 jt/bln",41.028 km Manual Tangerang Selatan
593,,,,,
594,2017        Honda               BRIO        SATYA E        1.2,Rp        138.000.000,Rp 142.000.000 (Cash),"Rp 2,81 jt/bln",77.545 km Automatic Bandung
595,2018        Daihatsu               AYLA        R        1.2,Rp        122.000.000,Rp 126.000.000 (Cash),"Rp 2,49 jt/bln",39.199 km Manual Malang
596,2015        Toyota               AGYA        G        1.0,Rp        107.000.000,Rp 110.000.000 (Cash),"Rp 2,18 jt/bln",59.773 km Automatic Jakarta Barat
597,2022        Honda               BRIO        SATYA E        1.2,Rp        177.000.000,Rp 182.000.000 (Cash),"Rp 3,61 jt/bln",10.231 km Automatic Tangerang Selatan
598,2016        Toyota               AGYA        G        1.0,Rp        107.000.000,Rp 110.000.000 (Cash),"Rp 2,18 jt/bln",100.861 km Automatic Jakarta Utara
599,2018        Daihatsu               AYLA        X        1.0,Rp        111.000.000,Rp 114.000.000 (Cash),"Rp 2,26 jt/bln",33.358 km Automatic Jakarta Utara
600,2016        Suzuki               KARIMUN        GL        1.0,Rp        89.000.000,Rp 92.000.000 (Cash),"Rp 1,81 jt/bln",31.743 km Manual Malang
601,2021        Daihatsu               SIGRA        D        1.0,Rp        117.000.000,Rp 120.000.000 (Cash),"Rp 2,38 jt/bln",50.351 km Manual Malang
602,2017        Suzuki               IGNIS        GX        1.2,Rp        123.000.000,Rp 127.000.000 (Cash),"Rp 2,51 jt/bln",38.519 km Manual Jakarta Utara
603,2019        Honda               BRIO        SATYA E        1.2,Rp        149.000.000,Rp 153.000.000 (Cash),"Rp 3,04 jt/bln",34.900 km Manual Bogor
604,2017        Toyota               CALYA        G        1.2,Rp        123.000.000,Rp 127.000.000 (Cash),"Rp 2,51 jt/bln",59.181 km Automatic Jakarta Timur
605,2018        Toyota               CALYA        G        1.2,Rp        128.000.000,Rp 132.000.000 (Cash),"Rp 2,61 jt/bln",29.162 km Automatic Bekasi
606,,,,,
607,2018        Daihatsu               AYLA        R        1.2,Rp        119.000.000,Rp 123.000.000 (Cash),"Rp 2,42 jt/bln",6.974 km Manual Jakarta Barat
608,2019        Honda               BRIO        RS        1.2,Rp        182.000.000,Rp 187.000.000 (Cash),"Rp 3,71 jt/bln",32.180 km Automatic Jakarta Selatan
609,2019        Wuling               CORTEZ        T LUX        1.5,Rp        187.000.000,Rp 192.000.000 (Cash),"Rp 3,81 jt/bln",26.490 km Automatic Jakarta Selatan
610,2016        Honda               BR-V        E        1.5,Rp        173.000.000,Rp 178.000.000 (Cash),"Rp 3,52 jt/bln",74.788 km Automatic Bandung
611,2017        Honda               MOBILIO        RS        1.5,Rp        180.000.000,Rp 185.000.000 (Cash),"Rp 3,67 jt/bln",59.887 km Automatic Tangerang Selatan
612,2018        Wuling               CORTEZ        L LUX        1.8,Rp        169.000.000,Rp 174.000.000 (Cash),"Rp 3,44 jt/bln",30.951 km Automatic Bekasi
613,,,,,
614,2019        Toyota               AGYA        G TRD        1.2,Rp        139.000.000,Rp 143.000.000 (Cash),"Rp 2,83 jt/bln",42.149 km Automatic Jakarta Barat
615,2017        Suzuki               IGNIS        GX AGS        1.2,Rp        134.000.000,Rp 138.000.000 (Cash),"Rp 2,73 jt/bln",78.382 km Automatic Bandung
616,2018        Honda               MOBILIO        E PRESTIGE        1.5,Rp        175.000.000,Rp 180.000.000 (Cash),"Rp 3,57 jt/bln",49.930 km Automatic Jakarta Timur
617,2017        Wuling               CONFERO        S C        1.5,Rp        112.000.000,Rp 115.000.000 (Cash),"Rp 2,28 jt/bln",45.649 km Manual Depok
618,2017        Honda               MOBILIO        E        1.5,Rp        161.000.000,Rp 166.000.000 (Cash),"Rp 3,28 jt/bln",95.361 km Automatic Bandung
619,2016        Nissan               X-TRAIL                2.0,Rp        201.000.000,Rp 207.000.000 (Cash),"Rp 4,10 jt/bln",72.928 km Automatic Jakarta Timur
620,2019        Wuling               CONFERO        S C        1.5,Rp        126.000.000,Rp 130.000.000 (Cash),"Rp 2,57 jt/bln",30.726 km Manual Jakarta Utara
621,2017        Suzuki               ERTIGA        GX        1.4,Rp        152.000.000,Rp 156.000.000 (Cash),"Rp 3,10 jt/bln",90.938 km Manual Bekasi
622,2016        Toyota               CALYA        G        1.2,Rp        117.000.000,Rp 121.000.000 (Cash),"Rp 2,38 jt/bln",122.204 km Automatic Jakarta Barat
623,2014        Nissan               MARCH        L        1.2,Rp        102.000.000,Rp 105.000.000 (Cash),"Rp 2,08 jt/bln",111.274 km Automatic Depok
624,2020        Toyota               CALYA        G        1.2,Rp        140.000.000,Rp 144.000.000 (Cash),"Rp 2,85 jt/bln",42.954 km Manual Jakarta Barat
625,2018        Datsun               CROSS                1.2,Rp        117.000.000,Rp 121.000.000 (Cash),"Rp 2,38 jt/bln",18.329 km Automatic Depok
626,,,,,
627,2020        Toyota               AGYA        G TRD        1.2,Rp        143.000.000,Rp 147.000.000 (Cash),"Rp 2,91 jt/bln",53.564 km Automatic Jakarta Utara
628,2021        Toyota               AGYA        G TRD SPORTIVO        1.2,Rp        144.000.000,Rp 148.000.000 (Cash),"Rp 2,93 jt/bln",7.396 km Manual Jakarta Timur
629,2017        Toyota               AGYA        G TRD        1.2,Rp        123.000.000,Rp 127.000.000 (Cash),"Rp 2,51 jt/bln",70.651 km Automatic Tangerang Selatan
630,2014        Nissan               MARCH        XS        1.2,Rp        115.000.000,Rp 118.000.000 (Cash),"Rp 2,34 jt/bln",40.817 km Automatic Depok
631,2016        Honda               BRIO        E        1.2,Rp        117.000.000,Rp 120.000.000 (Cash),"Rp 2,38 jt/bln",32.774 km Manual Bogor
632,2021        Suzuki               BALENO        HATCHBACK        1.4,Rp        200.000.000,Rp 206.000.000 (Cash),"Rp 4,08 jt/bln",8.963 km Automatic Tangerang Selatan
633,,,,,
634,2015        Honda               MOBILIO        E        1.5,Rp        143.000.000,Rp 147.000.000 (Cash),"Rp 2,91 jt/bln",96.658 km Automatic Malang
635,2017        Daihatsu               AYLA        R DLX        1.2,Rp        124.000.000,Rp 128.000.000 (Cash),"Rp 2,53 jt/bln",53.151 km Automatic Bekasi
636,2019        Suzuki               ERTIGA        GX        1.5,Rp        179.000.000,Rp 184.000.000 (Cash),"Rp 3,65 jt/bln",42.775 km Manual Bogor
637,2017        Honda               BRIO        SATYA E        1.2,Rp        137.000.000,Rp 141.000.000 (Cash),"Rp 2,79 jt/bln",77.811 km Automatic Jakarta Barat
638,2018        Wuling               CONFERO        S        1.5,Rp        115.000.000,Rp 118.000.000 (Cash),"Rp 2,34 jt/bln",61.425 km Manual Tangerang Selatan
639,2016        Honda               MOBILIO        E        1.5,Rp        151.000.000,Rp 155.000.000 (Cash),"Rp 3,08 jt/bln",82.137 km Automatic Bogor
640,2019        Toyota               CALYA        E        1.2,Rp        122.000.000,Rp 126.000.000 (Cash),"Rp 2,49 jt/bln",45.569 km Manual Jakarta Utara
641,2018        Mazda               2        R SKYACTIV        1.5,Rp        200.000.000,Rp 206.000.000 (Cash),"Rp 4,08 jt/bln",52.010 km Automatic Tangerang Selatan
642,2014        Honda               MOBILIO        E        1.5,Rp        134.000.000,Rp 138.000.000 (Cash),"Rp 2,73 jt/bln",96.910 km Automatic Bogor
643,2018        Suzuki               ERTIGA        GL        1.4,Rp        163.000.000,Rp 168.000.000 (Cash),"Rp 3,32 jt/bln",37.431 km Automatic Jakarta Timur
644,2017        Honda               BR-V        E        1.5,Rp        180.000.000,Rp 185.000.000 (Cash),"Rp 3,67 jt/bln",81.606 km Automatic Bogor
645,2019        Toyota               CALYA        G        1.2,Rp        137.000.000,Rp 141.000.000 (Cash),"Rp 2,79 jt/bln",54.006 km Automatic Depok
646,,,,,
647,2015        Suzuki               KARIMUN        GL        1.0,Rp        90.000.000,Rp 93.000.000 (Cash),"Rp 1,83 jt/bln",54.857 km Automatic Depok
648,2021        Toyota               CALYA        G        1.2,Rp        149.000.000,Rp 153.000.000 (Cash),"Rp 3,04 jt/bln",27.669 km Automatic Bandung
649,2017        Daihatsu               AYLA        X        1.2,Rp        117.000.000,Rp 120.000.000 (Cash),"Rp 2,38 jt/bln",39.230 km Automatic Bekasi
650,2019        Suzuki               IGNIS        GX        1.2,Rp        152.000.000,Rp 156.000.000 (Cash),"Rp 3,10 jt/bln",13.788 km Automatic Jakarta Barat
651,2019        Honda               BR-V        E        1.5,Rp        205.000.000,Rp 211.000.000 (Cash),"Rp 4,18 jt/bln",71.950 km Automatic Bogor
652,2016        Toyota               CALYA        G        1.2,Rp        120.000.000,Rp 124.000.000 (Cash),"Rp 2,44 jt/bln",83.388 km Automatic Jakarta Utara
653,,,,,
654,2019        Toyota               CALYA        G        1.2,Rp        137.000.000,Rp 141.000.000 (Cash),"Rp 2,79 jt/bln",71.519 km Automatic Jakarta Timur
655,2021        Honda               MOBILIO        S        1.5,Rp        165.000.000,Rp 170.000.000 (Cash),"Rp 3,36 jt/bln",16.622 km Manual Bandung
656,2016        Honda               MOBILIO        E        1.5,Rp        147.000.000,Rp 151.000.000 (Cash),"Rp 3,00 jt/bln",81.041 km Manual Bogor
657,2018        Toyota               AVANZA        G        1.3,Rp        160.000.000,Rp 165.000.000 (Cash),"Rp 3,26 jt/bln",38.796 km Manual Jakarta Utara
658,2019        Honda               BRIO        SATYA E        1.2,Rp        163.000.000,Rp 168.000.000 (Cash),"Rp 3,32 jt/bln",39.181 km Automatic Jakarta Utara
659,2018        Honda               BRIO        SATYA S        1.2,Rp        125.000.000,Rp 129.000.000 (Cash),"Rp 2,55 jt/bln",108.536 km Manual Jakarta Pusat
660,2015        Suzuki               ERTIGA        GX        1.4,Rp        139.000.000,Rp 143.000.000 (Cash),"Rp 2,83 jt/bln",45.408 km Manual Tangerang Selatan
661,2015        Mitsubishi               MIRAGE        LE EXCEED        1.2,Rp        115.000.000,Rp 118.000.000 (Cash),"Rp 2,34 jt/bln",125.813 km Automatic Jakarta Barat
662,2019        Honda               CR-V        TC (CKD)        1.5,Rp        394.000.000,Rp 405.000.000 (Cash),"Rp 8,03 jt/bln",24.922 km Automatic Bekasi
663,2018        Honda               BRIO        RS        1.2,Rp        156.000.000,Rp 161.000.000 (Cash),"Rp 3,18 jt/bln",22.223 km Automatic Jakarta Barat
664,2021        Toyota               CALYA        G        1.2,Rp        143.000.000,Rp 147.000.000 (Cash),"Rp 2,91 jt/bln",7.336 km Manual Jakarta Timur
665,2018        Daihatsu               SIGRA        X        1.2,Rp        117.000.000,Rp 121.000.000 (Cash),"Rp 2,38 jt/bln",23.768 km Automatic Bekasi
666,,,,,
667,2020        Suzuki               BALENO        HATCHBACK        1.4,Rp        202.000.000,Rp 208.000.000 (Cash),"Rp 4,12 jt/bln",21.445 km Automatic Jakarta Barat
668,2018        Honda               BRIO        SATYA E        1.2,Rp        145.000.000,Rp 149.000.000 (Cash),"Rp 2,95 jt/bln",38.708 km Automatic Jakarta Barat
669,2017        Toyota               AGYA        G TRD        1.2,Rp        123.000.000,Rp 127.000.000 (Cash),"Rp 2,51 jt/bln",44.878 km Automatic Tangerang Selatan
670,2018        Suzuki               ERTIGA        GX        1.5,Rp        186.000.000,Rp 191.000.000 (Cash),"Rp 3,79 jt/bln",57.278 km Automatic Depok
671,2019        Suzuki               CARRY        PICK UP        1.5,Rp        105.000.000,Rp 108.000.000 (Cash),"Rp 2,14 jt/bln",17.670 km Manual Bandung
672,2015        Mitsubishi               MIRAGE        GLS SPORT        1.2,Rp        113.000.000,Rp 116.000.000 (Cash),"Rp 2,30 jt/bln",40.473 km Automatic Jakarta Selatan
673,,,,,
674,2016        Honda               HR-V        E        1.5,Rp        222.000.000,Rp 228.000.000 (Cash),"Rp 4,52 jt/bln",51.824 km Automatic Bogor
675,2017        Datsun               GO+ PANCA        T        1.2,Rp        90.000.000,Rp 93.000.000 (Cash),"Rp 1,83 jt/bln",20.068 km Manual Jakarta Selatan
676,2018        Honda               BRIO        SATYA E        1.2,Rp        143.000.000,Rp 147.000.000 (Cash),"Rp 2,91 jt/bln",47.295 km Automatic Jakarta Utara
677,2019        Daihatsu               AYLA        R        1.2,Rp        129.000.000,Rp 133.000.000 (Cash),"Rp 2,63 jt/bln",22.917 km Automatic Jakarta Selatan
678,2016        Suzuki               KARIMUN        GS        1.0,Rp        99.000.000,Rp 102.000.000 (Cash),"Rp 2,02 jt/bln",54.351 km Automatic Jakarta Utara
679,2016        Nissan               MARCH        XS        1.2,Rp        117.000.000,Rp 121.000.000 (Cash),"Rp 2,38 jt/bln",121.508 km Automatic Bekasi
680,2019        Daihatsu               SIGRA        R STD        1.2,Rp        125.000.000,Rp 129.000.000 (Cash),"Rp 2,55 jt/bln",25.825 km Manual Bekasi
681,2019        Toyota               SIENTA        Q        1.5,Rp        220.000.000,Rp 226.000.000 (Cash),"Rp 4,48 jt/bln",44.714 km Automatic Jakarta Timur
682,2017        Suzuki               IGNIS        GX        1.2,Rp        126.000.000,Rp 130.000.000 (Cash),"Rp 2,57 jt/bln",61.450 km Manual Depok
683,2021        Toyota               AGYA        GR SPORT        1.2,Rp        156.000.000,Rp 161.000.000 (Cash),"Rp 3,18 jt/bln",14.869 km Automatic Surabaya
684,2014        Toyota               ETIOS VALCO        E        1.2,Rp        103.000.000,Rp 106.000.000 (Cash),"Rp 2,10 jt/bln",44.414 km Manual Tangerang Selatan
685,2017        Toyota               AVANZA        G        1.3,Rp        156.000.000,Rp 161.000.000 (Cash),"Rp 3,18 jt/bln",68.484 km Manual Tangerang Selatan
686,,,,,
687,2017        Suzuki               IGNIS        GX AGS        1.2,Rp        133.000.000,Rp 137.000.000 (Cash),"Rp 2,71 jt/bln",91.210 km Automatic Bogor
688,2018        Nissan               GRAND LIVINA        SV        1.5,Rp        136.000.000,Rp 140.000.000 (Cash),"Rp 2,77 jt/bln",73.084 km Automatic Jakarta Barat
689,2018        Suzuki               KARIMUN        GL        1.0,Rp        91.000.000,Rp 94.000.000 (Cash),"Rp 1,85 jt/bln",48.600 km Manual Bogor
690,2021        Honda               CITY        RS HATCHBACK        1.5,Rp        273.000.000,Rp 281.000.000 (Cash),"Rp 5,56 jt/bln",23.167 km Automatic Jakarta Barat
691,2021        Toyota               RAIZE        GR SPORT        1.0,Rp        223.000.000,Rp 229.000.000 (Cash),"Rp 4,54 jt/bln",3.698 km Automatic Jakarta Utara
692,2016        Honda               HR-V        PRESTIGE        1.8,Rp        241.000.000,Rp 248.000.000 (Cash),"Rp 4,91 jt/bln",95.133 km Automatic Jakarta Barat
693,,,,,
694,2018        Suzuki               ERTIGA        GX        1.5,Rp        186.000.000,Rp 191.000.000 (Cash),"Rp 3,79 jt/bln",48.300 km Automatic Bogor
695,2018        Suzuki               IGNIS        GL        1.2,Rp        129.000.000,Rp 133.000.000 (Cash),"Rp 2,63 jt/bln",44.363 km Automatic Jakarta Pusat
696,2016        Honda               BRIO        RS        1.2,Rp        145.000.000,Rp 149.000.000 (Cash),"Rp 2,95 jt/bln",38.157 km Automatic Bandung
697,2014        Nissan               MARCH                1.2,Rp        111.000.000,Rp 114.000.000 (Cash),"Rp 2,26 jt/bln",97.076 km Automatic Tangerang Selatan
698,2022        Daihatsu               AYLA        X        1.0,Rp        131.000.000,Rp 135.000.000 (Cash),"Rp 2,67 jt/bln",3.226 km Automatic Jakarta Pusat
699,2016        Honda               HR-V        S        1.5,Rp        203.000.000,Rp 209.000.000 (Cash),"Rp 4,14 jt/bln",20.517 km Automatic Bekasi
